epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4139.09,2.6564,3.68695,0.92379,0.00388,0.08654,0.00213,0.00049,4.93778,15832.9,1.87921,0.00038,0.00038,0.00038
2,8117.54,2.87274,2.22075,0.96884,5e-05,0.00049,2e-05,1e-05,3.63013,6.18021e+06,1.21888,0.000760695,0.000760695,0.000760695
3,11880.4,3.07688,1.77487,0.99347,0,0,0,0,4.85717,1.88607e+09,3792.02,0.00112159,0.00112159,0.00112159
4,15937.3,3.1947,1.64919,0.95091,0,0,0,0,5.74362,5.80876e+07,2899.2,0.00146269,0.00146269,0.00146269
5,20060.6,3.03218,1.59244,0.96296,0,0,0,0,0,1.31275e+07,0,0.00178398,0.00178398,0.00178398
6,24205.7,3.24941,1.60374,0.95162,0,0,0,0,5.90311,7.89098e+06,674.133,0.0017525,0.0017525,0.0017525
7,28327,3.03791,1.53094,0.9495,0.03027,0.11464,0.00972,0.00248,3.31381,4294.43,4.83371,0.001703,0.001703,0.001703
8,32268.5,2.95315,1.48655,0.93999,0.05869,0.06484,0.01138,0.00284,4.01428,23.2753,3.01139,0.0016535,0.0016535,0.0016535
9,36136.7,2.96637,1.46844,0.95404,0.32525,0.15853,0.11349,0.02946,3.07398,9.67388,0.95426,0.001604,0.001604,0.001604
